,User_A,User_B,Type,Source
345,@MimiTexasAngel,@JohnKerry,Mention,Republican
346,@MimiTexasAngel,@JohnKerry,Mention,Public
347,@MimiTexasAngel,@ENERGY,Mention,Democratic
348,@MimiTexasAngel,@ENERGY,Mention,Republican
349,@MimiTexasAngel,@ENERGY,Mention,Public
350,@MMPconnect,@MMPconnect,Tweet,Democratic
351,@MMPconnect,@MMPconnect,Tweet,Republican
352,@MMPconnect,@MMPconnect,Tweet,Public
353,@CallMeAhmjusAyn,@GOP,Reply,Republican
354,@researchmrx,@kimamfb,Retweet,Democratic
355,@researchmrx,@kimamfb,Retweet,Republican
356,@researchmrx,@kimamfb,Retweet,Public
357,@researchmrx,@GOP,Retweet,Democratic
358,@researchmrx,@GOP,Retweet,Republican
359,@researchmrx,@GOP,Retweet,Public
360,@researchmrx,@kimamfb,Retweet,Democratic
361,@researchmrx,@kimamfb,Retweet,Republican
362,@researchmrx,@kimamfb,Retweet,Public
363,@researchmrx,@GOP,Retweet,Democratic
364,@researchmrx,@GOP,Retweet,Republican
365,@researchmrx,@GOP,Retweet,Public
366,@kimamfb,@GOP,Mention,Republican
367,@researchmrx,@MMPconnection,Retweet,Democratic
368,@researchmrx,@MMPconnection,Retweet,Republican
369,@researchmrx,@MMPconnection,Retweet,Public
370,@MMPconnection,@MMPconnection,Tweet,Democratic
371,@MMPconnection,@MMPconnection,Tweet,Republican
372,@MMPconnection,@MMPconnection,Tweet,Public
373,@QUIGGYPAULS,@hopegrown,Retweet,Republican
374,@PeterLampteyJr,@hopegrown,Retweet,Republican
375,@MMPconnection,@MMPconnection,Tweet,Democratic
376,@MMPconnection,@MMPconnection,Tweet,Republican
377,@MMPconnection,@MMPconnection,Tweet,Public
378,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
379,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
380,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
381,@GriffKohout,@GriffKohout,Tweet,Democratic
382,@GriffKohout,@GriffKohout,Tweet,Republican
383,@GriffKohout,@GriffKohout,Tweet,Public
384,@GriffKohout,@VP,Retweet,Democratic
385,@GriffKohout,@VP,Retweet,Republican
386,@GriffKohout,@VP,Retweet,Public
387,@NapTown_Native,@NORML⁩,Mention,Republican
388,@NapTown_Native,@NORML⁩,Mention,Public
389,@NapTown_Native,@GOP⁩,Mention,Republican
390,@NapTown_Native,@GOP⁩,Mention,Public
391,@NapTown_Native,@DeptVetAffairs⁩,Mention,Republican
392,@NapTown_Native,@DeptVetAffairs⁩,Mention,Public
393,@NapTown_Native,@SenateDems⁩,Mention,Republican
394,@NapTown_Native,@SenateDems⁩,Mention,Public
395,@NapTown_Native,@POTUS,Mention,Republican
396,@NapTown_Native,@POTUS,Mention,Public
397,@NapTown_Native,@VP…,Mention,Republican
398,@NapTown_Native,@VP…,Mention,Public
399,@FFFBot1,@GriffKohout,Retweet,Democratic
400,@FFFBot1,@GriffKohout,Retweet,Republican
401,@FFFBot1,@GriffKohout,Retweet,Public
402,@FFFBot1,@VP,Retweet,Democratic
403,@FFFBot1,@VP,Retweet,Republican
404,@FFFBot1,@VP,Retweet,Public
405,@GriffKohout,@VP,Reply,Democratic
406,@GriffKohout,@VP,Reply,Republican
407,@GriffKohout,@VP,Reply,Public
408,@MimiTexasAngel,@TheDemocrats,Mention,Democratic
409,@MimiTexasAngel,@TheDemocrats,Mention,Republican
410,@MimiTexasAngel,@TheDemocrats,Mention,Public
411,@MimiTexasAngel,@GOP,Mention,Democratic
412,@MimiTexasAngel,@GOP,Mention,Republican
413,@MimiTexasAngel,@GOP,Mention,Public
414,@SlowGoncalves,@SlowGoncalves,Tweet,Republican
415,@SlowGoncalves,@SlowGoncalves,Tweet,Public
416,@MimiTexasAngel,@DNC,Mention,Democratic
417,@MimiTexasAngel,@DNC,Mention,Republican
418,@MimiTexasAngel,@DNC,Mention,Public
419,@MimiTexasAngel,@GOP,Mention,Democratic
420,@MimiTexasAngel,@GOP,Mention,Republican
421,@MimiTexasAngel,@GOP,Mention,Public
422,@SlowGoncalves,@SlowGoncalves,Tweet,Republican
423,@SlowGoncalves,@SlowGoncalves,Tweet,Public
424,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
425,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
426,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
427,@TokeSignals,@TokeSignals,Tweet,Republican
428,@TokeSignals,@TokeSignals,Tweet,Public
429,@MimiTexasAngel,@AtlanticCouncil,Reply,Democratic
430,@MimiTexasAngel,@AtlanticCouncil,Reply,Republican
431,@MimiTexasAngel,@AtlanticCouncil,Reply,Public
432,@hephaistos_ai,@MimiTexasAngel,Retweet,Republican
433,@hephaistos_ai,@MimiTexasAngel,Retweet,Public
434,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
435,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
436,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
437,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
438,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
439,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
440,@wind4me,@wind4me,Tweet,Republican
441,@wind4me,@wind4me,Tweet,Public
442,@France_Verte,@P0THEAD42Ox,Retweet,Democratic
443,@France_Verte,@P0THEAD42Ox,Retweet,Republican
444,@France_Verte,@P0THEAD42Ox,Retweet,Public
445,@P0THEAD42Ox,@P0THEAD42Ox,Tweet,Republican
446,@P0THEAD42Ox,@P0THEAD42Ox,Tweet,Public
447,@worldcannanews1,@CannabisBizNews,Retweet,Democratic
448,@worldcannanews1,@CannabisBizNews,Retweet,Republican
449,@worldcannanews1,@CannabisBizNews,Retweet,Public
450,@CannabisBizNews,@CannabisBizNews,Tweet,Democratic
451,@CannabisBizNews,@CannabisBizNews,Tweet,Republican
452,@CannabisBizNews,@CannabisBizNews,Tweet,Public
453,@benlubbon,@RepDaveJoyce,Retweet,Republican
454,@benlubbon,@RepAOC,Retweet,Republican
455,@MMPconnection,@MMPconnection,Tweet,Democratic
456,@MMPconnection,@MMPconnection,Tweet,Republican
457,@MMPconnection,@MMPconnection,Tweet,Public
458,@MimiTexasAngel,@McFaul,Reply,Democratic
459,@MimiTexasAngel,@McFaul,Reply,Republican
460,@MimiTexasAngel,@McFaul,Reply,Public
461,@MimiTexasAngel,@GOP,Reply,Democratic
462,@MimiTexasAngel,@GOP,Reply,Republican
463,@MimiTexasAngel,@GOP,Reply,Public
464,@MimiTexasAngel,@GOP,Reply,Democratic
465,@MimiTexasAngel,@GOP,Reply,Republican
466,@MimiTexasAngel,@GOP,Reply,Public
467,@MimiTexasAngel,@TheDemocrats,Reply,Democratic
468,@MimiTexasAngel,@TheDemocrats,Reply,Republican
469,@MimiTexasAngel,@TheDemocrats,Reply,Public
470,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
